handle,text,cleanText,textLength,textTag,is_retweet,original_author,datetime,date,time,lang,retweet_count,favorite_count
HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG,The question in this election: Who can put the plans into action that will make your life better? ,18,Positive,False,,2016-09-28 00:22:34,2016-09-28,00:22:34,en,218,651
HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF","Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. ",17,Neutral,True,timkaine,2016-09-27 23:45:00,2016-09-27,23:45:00,en,2445,5308
HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,Couldn't be more proud of HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next POTUS.,23,Positive,True,POTUS,2016-09-27 23:26:40,2016-09-27,23:26:40,en,7834,27234
HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy","If we stand together, there's nothing we can't do. Make sure you're ready to vote:  ",15,Positive,False,,2016-09-27 23:08:41,2016-09-27,23:08:41,en,916,2542
HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. ,16,Negative,False,,2016-09-27 22:30:27,2016-09-27,22:30:27,en,859,2882
realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc","Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… ",17,Positive,False,,2016-09-27 22:13:24,2016-09-27,22:13:24,en,2181,6172
HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,This election is too important to sit out. Go to  and make sure you're registered. NationalVoterRegistrationDay -H,17,Positive,False,,2016-09-27 21:35:28,2016-09-27,21:35:28,en,1303,2849
HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,When Donald Trump goes low...register to vote:  ,7,Neutral,False,,2016-09-27 21:25:31,2016-09-27,21:25:31,en,1833,4954
realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe","Once again, we will have a government of, by and for the people. Join the MOVEMENT today!  ",17,Positive,False,,2016-09-27 21:08:22,2016-09-27,21:08:22,en,4132,11239
HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,3) Has Trump offered a single proposal to reduce the friction of starting a business. HillaryClinton has ,17,Neutral,True,mcuban,2016-09-27 21:00:13,2016-09-27,21:00:13,en,1087,2824
HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM",The election is just weeks away. Check if you're registered to vote at  only takes a few cl… ,18,Neutral,True,ddlovato,2016-09-27 20:37:47,2016-09-27,20:37:47,en,3347,7698
realDonaldTrump,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON","On National VoterRegistrationDay, make sure you're registered to vote so we can MakeAmericaGreatAgain… ",13,Positive,True,GOP,2016-09-27 20:31:14,2016-09-27,20:31:14,en,2953,6963
realDonaldTrump,"Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: 
https://t.co/zhkEfUouHH",Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: ,11,Neutral,False,,2016-09-27 20:14:33,2016-09-27,20:14:33,en,3833,9840
realDonaldTrump,"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA
https://t.co/PGimqYKPoJ","'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via WashTimes. MAGA",16,Positive,False,,2016-09-27 20:06:25,2016-09-27,20:06:25,en,4236,10948
HillaryClinton,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) https://t.co/h43O6Rws4S,Donald Trump lied to the American people at least 58 times during the first presidential debate. (We counted.) ,18,Negative,False,,2016-09-27 19:59:28,2016-09-27,19:59:28,en,5379,8917
realDonaldTrump,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF,Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! ImWithYou ,15,Positive,False,,2016-09-27 19:59:04,2016-09-27,19:59:04,en,4878,14110
realDonaldTrump,"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA","In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! MAGA",25,Positive,False,,2016-09-27 19:37:22,2016-09-27,19:37:22,en,6939,23330
HillaryClinton,"“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: https://t.co/1ht91eZCyw","“She gained about 55 pounds in...9 months. She was like an eating machine.” —Trump, a man who wants to be president: ",21,Positive,False,,2016-09-27 19:31:01,2016-09-27,19:31:01,en,2058,3714
HillaryClinton,It's #NationalVoterRegistrationDay. Celebrate by registering to vote → https://t.co/tTgeqxNqYm https://t.co/R6lVvgLECG,It's NationalVoterRegistrationDay. Celebrate by registering to vote →  ,8,Positive,False,,2016-09-27 18:45:39,2016-09-27,18:45:39,en,1792,3500
HillaryClinton,"""I love this country.
I’m proud of this country.
I want to be a leader who brings people together.""
—Hillary #LoveTrumpsHate","""I love this country.I’m proud of this country.I want to be a leader who brings people together.""—Hillary LoveTrumpsHate",18,Positive,False,,2016-09-27 18:12:06,2016-09-27,18:12:06,en,1437,5053
HillaryClinton,"We don’t want to turn against each other.
We want to work with one another.
We want to set big goals in this country.
#StrongerTogether",We don’t want to turn against each other.We want to work with one another.We want to set big goals in this country.StrongerTogether,22,Positive,False,,2016-09-27 18:10:07,2016-09-27,18:10:07,en,976,3313
HillaryClinton,"""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary","""What we hear from my opponent is dangerously incoherent. It's unclear what he's saying, but words matter."" —Hillary",18,Negative,False,,2016-09-27 18:06:28,2016-09-27,18:06:28,en,957,2968
HillaryClinton,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… https://t.co/InYZBmnbBM,One candidate made it clear he wasn’t prepared for last night’s debate. The other made it clear she’s prepared to b… ,21,Positive,False,,2016-09-27 18:05:27,2016-09-27,18:05:27,en,3336,9961
